,Code,Year,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate),Prevalence - Substance use disorders - Sex: Both - Age: Age-standardized (Percent),$1.90 per day - share of population below poverty line,Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: Age-standardized (Percent),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Human rights protection,GDP per capita (constant 2010 US$)
86,SWE,2012,11.915672234619722,3.6223447395722697,0.4570020999999999,1.36886339479301,2.5,102.679481506348,2.88204119772129,53432.6448453224
87,CHE,2012,10.8915599541751,4.18219528939067,0.008965495,3.2303123267799,2.5,97.4105072021484,2.40318253433551,77844.1877874538
88,TZA,2012,10.331677640549964,1.8147592782808304,49.6492,12.97149309118273,29.1,82.1112976074219,0.25533086451937,788.429901780367
89,TLS,2012,5.327890811211018,1.23859312585362,30.24432,17.34681852927324,31.1,83.3279266357422,1.14745720863553,873.078966166126
90,TGO,2012,12.800158420105248,0.77890737161483,54.01998999999999,14.2366720890182,22.3,75.1290817260742,0.705758459950487,573.923988738926
91,TUR,2012,2.8367464077943665,0.84507697451871,0.09306085,10.41972187934345,2.5,99.8199234008789,-0.608028966288073,12128.2962831199
92,UKR,2012,18.73519388143995,3.39691001795626,0.0,7.92127012958784,2.5,97.5071792602539,-0.303336149430915,3153.7354536996
93,ARE,2012,5.666374677459196,1.35574370711564,0.0,13.13129670067168,4.5,93.9415588378906,0.95423789298133,35416.8840359827
94,URY,2012,17.386614808873162,3.10139354007421,0.1510502,2.59278898856741,2.5,102.657737731934,2.78058297898138,12981.1362695489
95,UZB,2012,11.193314998414412,2.42600103048005,23.2549,14.978034980834687,8.7,92.9503402709961,-0.27113974652816,1814.46719583905
96,VEN,2012,7.694245726894135,2.06170345018114,5.352436,6.9112813987143005,3.3,96.3213882446289,-0.669714755301181,14735.9075572168
97,VNM,2012,8.05419671123982,1.79518163487492,2.728185,13.82256398360118,10.1,102.639686584473,-0.0783070340585661,1443.50163250552
